x,y,z,r,g,b,timestamp
0.17249935958297652,0.2272243207729373,0.06257964915255132,122,151,150,1753999595.3821893
0.17567079783696465,0.22766051743705973,0.06219493200001841,99,128,129,1753999595.3821893
0.1723017513464165,0.22460164286504114,0.06074785336116856,120,149,150,1753999595.3821893
0.17540793198921995,0.22481900547458977,0.06050160527603321,111,136,143,1753999595.3821893
0.17858041915333045,0.22525362644595948,0.06011532893844762,125,153,157,1753999595.3821893
0.18214860566141455,0.22699226670302952,0.05888866490763994,73,94,100,1753999595.3821893
0.18553533180329304,0.22807887125531756,0.05808163866857513,66,87,95,1753999595.3821893
0.18852860503565635,0.2278615607696327,0.058114856586307995,49,70,78,1753999595.3821893
0.19165664839258986,0.22807887125531756,0.057867877582974236,99,117,126,1753999595.3821893
0.19450854055027023,0.22742688767439934,0.05818155582584106,113,141,147,1753999595.3821893
0.1967883834063139,0.2250363159602745,0.05961723813816122,125,155,160,1753999595.3821893
0.17216616345590402,0.2221986857463235,0.05877839256036249,112,134,146,1753999595.3821893
0.17520819919974914,0.2221986857463235,0.05867216233136602,119,149,154,1753999595.3821893
0.17837847277252972,0.22263178314880427,0.058284408193186754,118,145,154,1753999595.3821893
0.18168347861913686,0.22349793654890016,0.05761494625693969,99,123,125,1753999595.3821893
0.18512981243634766,0.2247971873514769,0.05666350329369019,91,109,116,1753999595.3821893
0.18818501278228006,0.2247971873514769,0.056556813346658796,53,70,82,1753999595.3821893
0.19130865149515996,0.22501371535028458,0.05630923205749566,96,126,129,1753999595.3821893
0.19186059328457372,0.2172182519396897,0.06127648092992943,122,152,157,1753999595.3821893
0.1938176095770074,0.21397012493324796,0.06328587625115767,115,147,154,1753999595.3821893
0.19997524645680484,0.22349793654890016,0.05697618364868395,122,152,157,1753999595.3821893
0.171906851278918,0.21936576117263407,0.05709332244991966,95,124,123,1753999595.3821893
0.17217470484356365,0.20987259188841756,0.0632120231731168,117,150,152,1753999595.3821893
0.17529348955113888,0.21030407219328018,0.06282458741155483,96,125,133,1753999595.3821893
0.1812838346388427,0.22022877390622286,0.05620878763148879,95,114,116,1753999595.3821893
0.1847907963924389,0.22173904314247184,0.05511140230405165,88,111,118,1753999595.3821893
0.18797632628454786,0.22217057557119813,0.05472160320468361,54,73,75,1753999595.3821893
0.19055020443645546,0.22066030633494915,0.05560664092346451,56,84,88,1753999595.3821893
0.19074445352670558,0.21181434142952904,0.06131010833571526,127,156,155,1753999595.3821893
